"","lhs","rhs","support","confidence","lift","count"
"720","{locationstr=NRT57-C2,hr=3,device=PC}","{result0=Miss}",0.000280510961505265,0.722222222222222,2.68431042318283,13
"730","{locationstr=NRT57-C2,hr=7,device=Generic Smartphone}","{result0=Miss}",0.000280510961505265,0.565217391304348,2.10076467901265,13
"746","{locationstr=NRT57-C2,hr=12,device=iPhone}","{result0=Miss}",0.000280510961505265,0.541666666666667,2.01323281738712,13
"757","{locationstr=NRT57-C1,hr=5,device=PC}","{result0=Miss}",0.000280510961505265,0.541666666666667,2.01323281738712,13
"703","{locationstr=NRT57-C1,hr=1,device=PC}","{result0=Miss}",0.000258933195235629,0.75,2.78755313176678,12
"723","{locationstr=NRT57-C2,hr=5,device=PC}","{result0=Miss}",0.000258933195235629,0.6,2.23004250541342,12
"728","{locationstr=NRT57-C2,hr=16,device=iPhone}","{result0=Miss}",0.000258933195235629,0.666666666666667,2.47782500601492,12
"734","{locationstr=NRT57-C2,hr=10,device=PC}","{result0=Miss}",0.000258933195235629,0.631578947368421,2.34741316359308,12
"755","{locationstr=NRT52,hr=5,device=PC}","{result0=Miss}",0.000258933195235629,0.5,1.85836875451119,12
"762","{locationstr=NRT20,hr=16,device=PC}","{result0=Miss}",0.000258933195235629,0.521739130434783,1.93916739601167,12
"768","{locationstr=NRT20-C1,hr=7,device=iPad}","{result0=Miss}",0.000258933195235629,0.521739130434783,1.93916739601167,12
"779","{locationstr=NRT20-C1,hr=15,device=PC}","{result0=Miss}",0.000258933195235629,0.857142857142857,3.18577500773347,12
"426","{locationstr=NRT57-C1,hr=11,device=okhttp/3.9.1}","{result0=Miss}",0.000237355428965993,0.785714285714286,2.92029375708901,11
"456","{locationstr=NRT57-C1,hr=22,device=iOS-Device}","{result0=Miss}",0.000237355428965993,0.578947368421053,2.15179539996032,11
"609","{locationstr=NRT12,hr=6,device=SSPKSample/1.0}","{result0=Miss}",0.000237355428965993,0.785714285714286,2.92029375708901,11
"679","{locationstr=NRT57-C2,hr=23,device=iPhone}","{result0=Miss}",0.000237355428965993,0.733333333333333,2.72560750661641,11
"698","{locationstr=NRT57-C1,hr=0,device=PC}","{result0=Miss}",0.000237355428965993,0.578947368421053,2.15179539996032,11
"700","{locationstr=NRT57-C2,hr=1,device=PC}","{result0=Miss}",0.000237355428965993,0.846153846153846,3.14493173840355,11
"430","{locationstr=NRT57-C1,hr=12,device=okhttp/3.9.1}","{result0=Miss}",0.000215777662696358,0.666666666666667,2.47782500601492,10
"509","{locationstr=NRT57-C1,hr=16,device=iOS-Device}","{result0=Miss}",0.000215777662696358,0.769230769230769,2.85902885309414,10
"563","{locationstr=NRT57-C1,hr=19,device=PC}","{result0=Miss}",0.000215777662696358,0.666666666666667,2.47782500601492,10
"614","{locationstr=NRT12,hr=13,device=SSPKSample/1.0}","{result0=Miss}",0.000215777662696358,0.714285714285714,2.65481250644455,10
"655","{locationstr=NRT20,hr=10,device=SSPKSample/1.0}","{result0=Miss}",0.000215777662696358,0.555555555555556,2.0648541716791,10
"662","{locationstr=NRT20,hr=12,device=SSPKSample/1.0}","{result0=Miss}",0.000215777662696358,0.666666666666667,2.47782500601492,10
"675","{locationstr=NRT57-C1,hr=22,device=PC}","{result0=Miss}",0.000215777662696358,0.625,2.32296094313898,10
"686","{locationstr=NRT12-C1,hr=15,device=Generic Smartphone}","{result0=Miss}",0.000215777662696358,0.5,1.85836875451119,10
"687","{locationstr=NRT12-C1,hr=14,device=PC}","{result0=Miss}",0.000215777662696358,0.5,1.85836875451119,10
